Pays,Name Long,RegionLabel,janv-25,févr-25,mars-25,avr-25,mai-25,juin-25,juil-25,août-25,sept-25,oct-25,nov-25,déc-25,janv-26,current
Afghanistan,Afghanistan,AFG,1335,1112,1388,970,957,2190,1509,1372,1996,1491,1898,1047,2068,2068
Albania,Albania,ALB,368,316,402,399,1530,412,635,624,485,330,397,322,344,344
Algeria,Algeria,DZA,6252,7483,8338,6852,4730,3111,5716,3709,2353,4341,5625,5742,4759,4759
American Samoa,#N/A,AS,7,3,3,0,0,0,0,0,0,0,0,0,0,0
Andorra,Andorra,AND,348,374,331,366,676,467,566,517,449,317,156,440,274,274
Angola,Angola,AGO,772,812,1032,495,743,582,864,661,186,218,765,698,290,290
Anguilla,Anguilla,AIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antigua & Barbuda,Antigua and Barbuda,ATG,5,4,11,2,7,14,15,6,4,17,20,3,9,9
Argentina,Argentina,ARG,2101,2083,2279,2892,1824,1894,1974,1905,2648,2871,2254,2921,2768,2768
Armenia,Armenia,ARM,207,277,380,366,503,652,427,1073,431,360,378,280,297,297
Australia,Australia,AUS,6057,3620,4404,3252,4011,3607,5526,4822,5062,3358,4286,6873,6539,6539
Austria,Austria,AUT,2643,2798,1543,1332,2321,2444,2296,2246,1708,1555,1886,2381,2196,2196
Azerbaijan,Azerbaijan,AZE,354,197,365,322,333,492,327,1016,1029,1970,1898,284,371,371
Bahamas, The,Bahamas,BHS,431,317,156,146,157,214,322,399,198,637,154,125,335
Bahrain,Bahrain,BHR,201,452,372,620,307,653,321,138,197,183,192,115,331,331
Bangladesh,Bangladesh,BGD,240,323,365,434,309,332,463,237,316,291,480,395,278,278
Barbados,Barbados,BRB,134,95,106,83,118,110,180,70,38,65,85,56,68,68
Belarus,Belarus,BLR,421,465,620,329,692,359,361,709,1371,430,315,512,297,297
Belgium,Belgium,BEL,4256,5638,5393,4582,5880,5237,6951,5859,6534,5763,6528,6064,5555,5555
Belize,Belize,BLZ,22,71,14,43,60,38,50,56,32,30,51,28,59,59
Benin,Benin,BEN,21,23,16,151,191,221,197,391,535,958,561,2006,1094,1094
Bhutan,Bhutan,BTN,54,43,60,28,49,30,33,55,23,27,49,29,26,26
Bolivia,Bolivia,BOL,379,298,370,281,402,355,339,724,319,574,467,775,381,381
Bosnia & Herzegovina,Bosnia and Herzegovina,BIH,59,183,111,68,157,78,287,211,121,59,172,67,42,42
Botswana,Botswana,BWA,100,99,131,87,89,80,129,113,205,80,112,677,186,186
Brazil,Brazil,BRA,2901,3158,3220,3153,3657,3987,5111,4289,4928,3779,8731,5622,4406,4406
British Indian Ocean Territory,#N/A,IO,0,0,0,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands,British Virgin Islands,VGB,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,Brunei Darussalam,BRN,31,44,9,46,24,11,93,44,16,32,11,25,16,16
Bulgaria,Bulgaria,BGR,499,469,492,510,541,706,896,563,1011,769,631,813,627,627
Burkina Faso,Burkina Faso,BFA,628,441,550,511,534,509,570,458,653,579,496,1356,878,878
Burma,Myanmar,MMR,331,358,458,1182,481,546,548,271,262,326,279,626,435,435
Burundi,Burundi,BDI,106,351,183,96,182,411,101,190,148,120,109,605,160,160
Cabo Verde,Republic of Cabo Verde,CPV,313,151,168,157,167,109,258,247,250,451,354,301,186,186
Cambodia,Cambodia,KHM,395,587,551,1054,517,600,2372,762,370,773,743,1730,432,432
Cameroon,Cameroon,CMR,662,688,882,873,890,1090,1361,1148,1003,1736,1044,1970,1988,1988
Canada,Canada,CAN,5091,7491,9295,6588,5766,7419,6233,14853,5951,4045,3999,5160,6932,6932
Central African Rep,Central African Republic,CAF,92,79,214,109,59,89,105,104,100,70,112,227,123,123
Chad,Chad,TCD,925,941,718,677,773,1002,887,810,443,396,780,427,447,447
Chile,Chile,CHL,1177,1321,965,1183,1217,1306,1581,1198,1574,1632,1668,1864,1646,1646
China,China,CHN,9676,14090,11740,19723,14165,11386,14097,10634,11410,11206,14219,13377,13657,13657
Colombia,Colombia,COL,1568,1754,1366,1093,1075,1478,1550,1811,1427,1679,1848,1411,2862,2862
Comoros,Comoros,COM,651,461,295,593,182,225,240,122,159,166,151,1211,295,295
Congo, Dem Rep of the,Democratic Republic of the Congo,COD,1466,2026,1128,1165,1013,1083,911,868,938,693,909,1752,1036
Congo, Rep of the,Republic of the Congo,COG,32,66,66,31,32,141,48,76,73,68,72,115,74
Cook Islands,Cook Islands,COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,Costa Rica,CRI,185,364,221,200,310,635,430,333,373,327,205,250,282,282
Cote d'Ivoire,C√¥te d'Ivoire,CIV,900,1011,1055,1452,1191,1324,1342,1123,1166,2233,1238,1577,894,894
Croatia,Croatia,HRV,1643,868,3390,677,1038,981,904,621,918,972,678,587,437,437
Cuba,Cuba,CUB,898,956,761,710,785,730,943,709,706,1767,579,625,2681,2681
Cyprus,Cyprus,CYP,414,499,590,447,672,987,791,705,390,385,545,342,487,487
Czechia,Czech Republic,CZE,503,681,588,225,578,560,793,588,607,727,639,592,1190,1190
Denmark,Denmark,DNK,2332,2105,2609,1351,1449,1921,2408,1799,3722,3250,1789,2490,9313,9313
Djibouti,Djibouti,DJI,205,312,188,227,197,263,440,194,117,259,139,179,257,257
Dominica,Dominica,DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dominican Republic,Dominican Republic,DOM,243,252,109,710,104,169,142,299,126,725,242,145,343,343
Ecuador,Ecuador,ECU,177,225,147,339,192,227,312,257,603,558,506,563,550,550
Egypt,Egypt,EGY,3969,4192,2814,3265,2680,2751,3269,3083,2491,7941,2557,3461,4501,4501
El Salvador,El Salvador,SLV,619,678,861,1344,813,776,925,871,488,516,677,827,684,684
Equatorial Guinea,Equatorial Guinea,GNQ,52,54,34,43,140,231,120,42,108,82,59,573,133,133
Eritrea,Eritrea,ERI,73,62,130,67,156,244,171,101,114,130,104,118,61,61
Estonia,Estonia,EST,502,785,921,553,926,493,642,592,2118,858,646,484,301,301
Ethiopia,Ethiopia,ETH,214,381,359,317,305,383,572,529,373,298,304,282,324,324
Fiji,Fiji,FJI,130,257,174,160,283,272,282,377,233,256,1742,238,151,151
Finland,Finland,FIN,999,1210,1741,963,1560,1013,1521,1692,2048,870,1242,1306,1524,1524
France,France,FRA,119081,129484,124559,124014,137734,137630,157816,126893,145607,137165,134668,130873,130215,2337
Gabon,Gabon,GAB,451,432,614,1032,741,473,788,480,449,571,770,1078,533,533
Gambia, The,The Gambia,GMB,107,228,185,167,171,147,145,165,119,128,118,160,133
Georgia,Georgia,GEO,1141,936,1240,853,860,1086,1124,964,1441,907,1048,837,646,646
Germany,Germany,DEU,11828,15933,13534,10709,17210,12569,16485,12048,13040,11761,12475,12241,13008,13008
Ghana,Ghana,GHA,346,383,599,698,499,485,633,529,540,492,446,584,330,330
Greece,Greece,GRC,1532,2213,2270,2416,3039,3184,4682,4194,2994,2279,2401,2006,1884,1884
Greenland,Greenland,GRL,2691,1859,2612,1217,650,1684,647,700,536,491,441,773,16699,16699
Grenada,Grenada,GRD,613,2486,665,557,732,659,894,662,806,845,636,692,660,660
Guatemala,Guatemala,GTM,387,315,217,349,251,182,211,191,242,181,189,178,353,353
Guinea,Guinea,GIN,654,748,833,839,906,808,833,729,1013,642,849,1081,603,603
Guinea-Bissau,Guinea-Bissau,GNB,34,77,147,52,91,75,318,74,111,76,773,345,116,116
Guyana,Guyana,GUY,123,42,96,47,128,84,43,68,157,62,35,51,118,118
Haiti,Haiti,HTI,19,10,11,1496,1297,1276,1373,1032,374,1634,904,748,585,585
Honduras,Honduras,HND,108,136,122,146,191,100,125,90,57,116,343,616,392,392
Hong Kong,Hong Kong,HKG,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,Hungary,HUN,1595,1497,2016,1536,1611,1844,1684,2086,1721,2322,1662,2045,1627,1627
Iceland,Iceland,ISL,551,810,718,511,735,809,1021,1009,2495,2040,916,749,1216,1216
India,India,IND,2800,4583,3185,4644,6641,5281,5059,5328,3868,3833,3945,3504,3570,3570
Indonesia,Indonesia,IDN,843,1084,596,784,1509,929,2263,1077,1221,1637,1414,1555,893,893
Iran,Iran,IRN,3029,2747,3339,4723,4489,27981,8225,3554,3834,3108,3396,3156,17609,17609
Iraq,Iraq,IRQ,1124,1317,1438,1354,1517,5057,1807,1148,1162,1099,1585,1457,3577,3577
Ireland,Ireland,IRL,2349,3034,4751,2067,1954,1901,2771,2025,3106,1806,2338,2151,2463,2463
Israel,Israel,ISR,12148,13213,10289,9185,15957,32129,17508,15106,17226,17346,7667,6688,7312,7312
Italy,Italy,ITA,7932,11124,9852,11726,11989,10319,13209,12736,12572,9518,9013,10548,11269,11269
Jamaica,Jamaica,JAM,155,243,256,313,283,261,367,238,239,2256,737,285,334,334
Japan,Japan,JPN,4471,4575,4876,6009,4559,4475,7786,6588,5759,5645,4591,4794,4191,4191
